cut,n,k,p,kp,M,alpha,T,beta,gain,depth,level,seed,acc,margin,spread,floor,Q
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.303840,1.7000,3,2,43,1.000000,10.776823,0.015992,0.012500,0.003536
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.303840,1.7000,3,3,43,1.000000,9.954055,0.015685,0.012500,0.003225
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.334166,1.7800,5,1,42,1.000000,12.604688,0.016230,0.012500,0.003777
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.334166,1.7800,5,2,42,1.000000,10.254427,0.019236,0.012500,0.006821
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.334166,1.7800,5,3,42,1.000000,9.382403,0.017540,0.012500,0.005103
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.334166,1.7800,5,4,42,1.000000,7.744754,0.017827,0.012500,0.005395
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.334166,1.7800,5,5,42,1.000000,6.242318,0.019484,0.012500,0.007073
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.356466,1.8400,3,1,42,1.000000,13.056510,0.015883,0.012500,0.003426
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.356466,1.8400,3,2,42,1.000000,11.274479,0.017302,0.012500,0.004862
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.356466,1.8400,3,3,42,1.000000,9.121168,0.018125,0.012500,0.005696
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.356466,1.8400,3,1,43,1.000000,13.463802,0.016300,0.012500,0.003848
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.356466,1.8400,3,2,43,1.000000,11.286124,0.017272,0.012500,0.004832
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.356466,1.8400,3,3,43,1.000000,9.432651,0.019167,0.012500,0.006751
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.334166,1.7800,5,1,43,1.000000,12.662388,0.016062,0.012500,0.003607
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.334166,1.7800,5,2,43,1.000000,10.449950,0.017629,0.012500,0.005194
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.334166,1.7800,5,3,43,1.000000,8.680940,0.019712,0.012500,0.007304
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.334166,1.7800,5,4,43,1.000000,7.257199,0.018839,0.012500,0.006420
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.334166,1.7800,5,5,43,1.000000,6.422811,0.018224,0.012500,0.005797
