n,k,p,M,alpha,T,beta,gain,depth,level,seed,acc,margin,spread,floor,Q
2000,50,0.05,64,1.6,2,0.466288,2.1500,5,5,44,0.031250,1.000957,0.679087,0.025000,0.670859
2000,50,0.05,64,1.6,2,0.516575,2.3000,5,1,42,1.000000,3.675849,0.082778,0.025000,0.059259
2000,50,0.05,64,1.6,2,0.516575,2.3000,5,2,42,0.375000,1.077342,0.296339,0.025000,0.278297
2000,50,0.05,64,1.6,2,0.516575,2.3000,5,3,42,0.203125,1.014236,0.522966,0.025000,0.510735
2000,50,0.05,64,1.6,2,0.516575,2.3000,5,4,42,0.046875,1.000963,0.677688,0.025000,0.669424
2000,50,0.05,64,1.6,2,0.516575,2.3000,5,5,42,0.015625,1.000000,0.780744,0.025000,0.775122
2000,50,0.05,64,1.6,2,0.516575,2.3000,5,1,43,1.000000,3.526579,0.083571,0.025000,0.060073
2000,50,0.05,64,1.6,2,0.516575,2.3000,5,2,43,0.406250,1.086036,0.291062,0.025000,0.272884
2000,50,0.05,64,1.6,2,0.516575,2.3000,5,3,43,0.218750,1.016966,0.517837,0.025000,0.505474
2000,50,0.05,64,1.6,2,0.516575,2.3000,5,4,43,0.015625,1.004870,0.682242,0.025000,0.674094
2000,50,0.05,64,1.6,2,0.516575,2.3000,5,5,43,0.015625,1.000000,0.792887,0.025000,0.787576
2000,50,0.05,64,1.6,2,0.516575,2.3000,5,1,44,1.000000,3.582204,0.084216,0.025000,0.060735
2000,50,0.05,64,1.6,2,0.516575,2.3000,5,2,44,0.421875,1.072546,0.316637,0.025000,0.299115
2000,50,0.05,64,1.6,2,0.516575,2.3000,5,3,44,0.140625,1.011484,0.578383,0.025000,0.567572
2000,50,0.05,64,1.6,2,0.516575,2.3000,5,4,44,0.046875,1.004830,0.707708,0.025000,0.700214
2000,50,0.05,64,1.6,2,0.516575,2.3000,5,5,44,0.015625,1.005102,0.777341,0.025000,0.771632
