path	sha256	structural_check	lines	semantic_scope
cpp/python_implementations/core_implementations/results/bottleneck_analysis_20250924_033324.json	7c24ec2bdaa467dca4cc3e09e8ef32eb39ce5e833b6886ff43292f80e495aa53	bytes hashed	327	structural inventory only
cpp/python_implementations/core_implementations/results/large_scale_test_results_20250924_034444.json	8ca30f33a403cef3bcb359f9b6f1c932d8ad07aff39ee20fba7e301abb1e2fea	bytes hashed	271	structural inventory only
cpp/python_implementations/core_implementations/results/oscillation_demo_results_20250924_043523.json	0d28c9002e897d1e806b74c6aa6dbd1ffd9b059f125e71613888f1e17ebd35da	bytes hashed	297	structural inventory only
cpp/python_implementations/core_implementations/results/quantization_baseline_20250924_042907.json	d8ce55728bcdd978143f2ba2af96ac71fa35ae1b271975d74e1cde9b0e552088	bytes hashed	70	structural inventory only
cpp/python_implementations/core_implementations/results/test_profile.json	ef03183af90f529450cc74a0ae14d53b3be395008804f792650dd1c03e4523f2	bytes hashed	80	structural inventory only
cpp/python_implementations/core_implementations/tests/README.md	5cc980a27ef1dfd609f2f2932241b737a47a5ad89304e9477bdbf6b4d9645595	bytes hashed	36	structural inventory only
cpp/python_implementations/core_implementations/tests/compare_implementations.py	9ea7833b4d6612bcc2b25ad17db949f3584e756b5aa610f0aa082030f2f46c11	Python AST parsed	253	structural inventory only
cpp/python_implementations/core_implementations/tests/test_all_optimized_implementations.py	1281c32ecb70115fab651be3981c843d585e1f886b57a973b6dfbe933d0c7fff	Python AST parsed	434	structural inventory only
cpp/python_implementations/core_implementations/tests/test_cleanup_fixes.py	831affb790d88670b2deb2cc5929457b64f5f4bb2a4de8148f4c7152fe8c2465	Python AST parsed	64	structural inventory only
cpp/python_implementations/core_implementations/tests/test_client.py	f4aec6d24e6100be929b6bcde26ba238cd83a1c6cab3761769e22bd5fe15b00a	Python AST parsed	213	structural inventory only
cpp/python_implementations/core_implementations/tests/test_comprehensive_cuda_kernels.py	ab8be4e8f016d463c37493681364c701175dadaadcfbc2f122db1c8b139397e3	Python AST parsed	450	structural inventory only
cpp/python_implementations/core_implementations/tests/test_conservative_scales.py	810e2f8494be78ca6871edccaba140012aedbe56cefd483b042df5255ec97d89	Python AST parsed	215	structural inventory only
cpp/python_implementations/core_implementations/tests/test_core_operations.py	282fa1a9d60652db248d734f756cd9226b502abe6ca12e35027fdfbf695377b7	Python AST parsed	490	structural inventory only
cpp/python_implementations/core_implementations/tests/test_cuda_kernels.py	5fd7e393f9d3cfa0294c7e479349326243325951d31c64dd74a8d68a83ce0a6b	Python AST parsed	175	structural inventory only
cpp/python_implementations/core_implementations/tests/test_extreme_limits.py	e89c8c832854cc8c2aa536022ca040a79f1540c86a96a7619a4c39a9aed823b0	Python AST parsed	60	structural inventory only
cpp/python_implementations/core_implementations/tests/test_extreme_scales.py	79f07a15062bf6cb39ae9bba4c9f393d829996c4c355b1882d09c74c74ceed15	Python AST parsed	234	structural inventory only
cpp/python_implementations/core_implementations/tests/test_large_active_percentages.py	463be9283217778636c1965d017fb08f84ffb6292bc22f83bbe1596f69efebed	Python AST parsed	263	structural inventory only
cpp/python_implementations/core_implementations/tests/test_large_scale.py	96972e9300735ed53b291f1e961655d1613f14714aacd59274e14fad955ff704	Python AST parsed	178	structural inventory only
cpp/python_implementations/core_implementations/tests/test_large_scale_cleanup.py	e3dd47d874329852c40baa5b4d6f72073712aa7b768e9bae674a32d32a5d41f3	Python AST parsed	65	structural inventory only
cpp/python_implementations/core_implementations/tests/test_large_scale_fixed.py	2acf9b3715291ea6638142302f4d2703a7b46febad2ccc1388f95e0cfd3b6d30	Python AST parsed	414	structural inventory only
cpp/python_implementations/core_implementations/tests/test_large_scale_new.py	5f272b3554ea5523ed0dc3b0c0128e2d478601104bb0c4fcb167a2fd81660d8e	Python AST parsed	106	structural inventory only
cpp/python_implementations/core_implementations/tests/test_modular_simulator.py	5ddb0172ead2bb65e36ebf7bb00cc8ad01ca05dad97a899e6c6b982d47406595	Python AST parsed	183	structural inventory only
cpp/python_implementations/core_implementations/universal_brain_simulator/README.md	c68e2e3eb3e2a740fa9f655e49adb1ef140a54023e3c575f222f3c8aa2b9e5d9	bytes hashed	257	structural inventory only
cpp/python_implementations/core_implementations/universal_brain_simulator/__init__.py	f138333f28ce25606748e1e2ac1afba6a31f48f12ebc218300df3a1350cd302c	Python AST parsed	107	structural inventory only
cpp/python_implementations/core_implementations/universal_brain_simulator/algorithms.py	551400917253fc552fc8e79e3e9697fe62abcb2cc1adca644c529af2c21a37f5	Python AST parsed	362	structural inventory only
cpp/python_implementations/core_implementations/universal_brain_simulator/area_manager.py	31decdf2409a9e73c7e0b772a79f4b32955c2321bb985e610fed49900ee3aaa3	Python AST parsed	200	structural inventory only
