
  SWEEP gain_x_alpha   112 configs x 3 seeds
  336 to run, 0 already done -> F:\Github\assemblies\research\experiments\sweep.csv
  [111/336] n=4000 M=96 p=0.05 D=5 g=1.40 s=46  acc=0.708 marg=  2.00  [13s, eta 36m]
  [112/336] n=4000 M=96 p=0.05 D=5 g=1.50 s=44  acc=0.938 marg=  3.44  [14s, eta 36m]
  [113/336] n=4000 M=96 p=0.05 D=5 g=1.50 s=45  acc=0.938 marg=  3.14  [14s, eta 36m]
  [114/336] n=4000 M=96 p=0.05 D=5 g=1.50 s=46  acc=0.958 marg=  3.21  [13s, eta 36m]
  [115/336] n=4000 M=96 p=0.05 D=5 g=1.60 s=44  acc=0.917 marg=  3.20  [11s, eta 36m]
  [116/336] n=4000 M=96 p=0.05 D=5 g=1.60 s=45  acc=0.990 marg=  3.51  [12s, eta 36m]
  [117/336] n=4000 M=96 p=0.05 D=5 g=1.60 s=46  acc=0.990 marg=  3.68  [14s, eta 36m]
  [118/336] n=4000 M=96 p=0.05 D=5 g=1.70 s=44  acc=0.083 marg=  1.09  [16s, eta 36m]
  [119/336] n=4000 M=96 p=0.05 D=5 g=1.70 s=45  acc=0.354 marg=  1.48  [15s, eta 36m]
  [120/336] n=4000 M=96 p=0.05 D=5 g=1.70 s=46  acc=0.115 marg=  1.15  [14s, eta 36m]
  [121/336] n=4000 M=96 p=0.05 D=5 g=1.78 s=44  acc=0.010 marg=  1.01  [13s, eta 36m]
  [122/336] n=4000 M=96 p=0.05 D=5 g=1.78 s=45  acc=0.062 marg=  1.04  [13s, eta 36m]
  [123/336] n=4000 M=96 p=0.05 D=5 g=1.78 s=46  acc=0.021 marg=  1.03  [13s, eta 36m]
  [124/336] n=4000 M=96 p=0.05 D=5 g=1.84 s=44  acc=0.042 marg=  1.01  [12s, eta 35m]
  [125/336] n=4000 M=96 p=0.05 D=5 g=1.84 s=45  acc=0.042 marg=  1.05  [11s, eta 35m]
  [126/336] n=4000 M=96 p=0.05 D=5 g=1.84 s=46  acc=0.042 marg=  1.01  [11s, eta 35m]
  [127/336] n=4000 M=96 p=0.05 D=5 g=1.90 s=44  acc=0.052 marg=  1.01  [12s, eta 35m]
  [128/336] n=4000 M=96 p=0.05 D=5 g=1.90 s=45  acc=0.052 marg=  1.01  [10s, eta 35m]
  [129/336] n=4000 M=96 p=0.05 D=5 g=1.90 s=46  acc=0.052 marg=  1.01  [10s, eta 35m]
  [130/336] n=4000 M=96 p=0.05 D=5 g=1.96 s=44  acc=0.010 marg=  1.01  [10s, eta 35m]
  [131/336] n=4000 M=96 p=0.05 D=5 g=1.96 s=45  acc=0.031 marg=  1.01  [10s, eta 34m]
  [132/336] n=4000 M=96 p=0.05 D=5 g=1.96 s=46  acc=0.042 marg=  1.01  [10s, eta 34m]
  [133/336] n=4000 M=96 p=0.05 D=5 g=2.02 s=44  acc=0.010 marg=  1.00  [10s, eta 34m]
  [134/336] n=4000 M=96 p=0.05 D=5 g=2.02 s=45  acc=0.052 marg=  1.01  [10s, eta 34m]
  [135/336] n=4000 M=96 p=0.05 D=5 g=2.02 s=46  acc=0.031 marg=  1.01  [11s, eta 34m]
  [136/336] n=4000 M=96 p=0.05 D=5 g=2.10 s=44  acc=0.021 marg=  1.01  [10s, eta 34m]
  [137/336] n=4000 M=96 p=0.05 D=5 g=2.10 s=45  acc=0.021 marg=  1.01  [11s, eta 33m]
  [138/336] n=4000 M=96 p=0.05 D=5 g=2.10 s=46  acc=0.021 marg=  1.01  [10s, eta 33m]
  [139/336] n=4000 M=96 p=0.05 D=5 g=2.20 s=44  acc=0.010 marg=  1.00  [11s, eta 33m]
  [140/336] n=4000 M=96 p=0.05 D=5 g=2.20 s=45  acc=0.042 marg=  1.01  [14s, eta 33m]
  [141/336] n=4000 M=96 p=0.05 D=5 g=2.20 s=46  acc=0.031 marg=  1.00  [11s, eta 33m]
  [142/336] n=4000 M=96 p=0.05 D=5 g=2.35 s=44  acc=0.010 marg=  1.00  [11s, eta 33m]
  [143/336] n=4000 M=96 p=0.05 D=5 g=2.35 s=45  acc=0.042 marg=  1.01  [12s, eta 33m]
  [144/336] n=4000 M=96 p=0.05 D=5 g=2.35 s=46  acc=0.042 marg=  1.01  [10s, eta 32m]
  [145/336] n=4000 M=128 p=0.05 D=5 g=1.08 s=44  acc=0.016 marg=  1.19  [20s, eta 32m]
  [146/336] n=4000 M=128 p=0.05 D=5 g=1.08 s=45  acc=0.000 marg=  1.21  [19s, eta 32m]
  [147/336] n=4000 M=128 p=0.05 D=5 g=1.08 s=46  acc=0.023 marg=  1.20  [24s, eta 33m]
  [148/336] n=4000 M=128 p=0.05 D=5 g=1.15 s=44  acc=0.016 marg=  1.16  [21s, eta 33m]
  [149/336] n=4000 M=128 p=0.05 D=5 g=1.15 s=45  acc=0.031 marg=  1.17  [22s, eta 33m]
  [150/336] n=4000 M=128 p=0.05 D=5 g=1.15 s=46  acc=0.031 marg=  1.23  [21s, eta 33m]
  [151/336] n=4000 M=128 p=0.05 D=5 g=1.22 s=44  acc=0.086 marg=  1.21  [20s, eta 33m]
  [152/336] n=4000 M=128 p=0.05 D=5 g=1.22 s=45  acc=0.062 marg=  1.21  [18s, eta 33m]
  [153/336] n=4000 M=128 p=0.05 D=5 g=1.22 s=46  acc=0.062 marg=  1.22  [20s, eta 33m]
  [154/336] n=4000 M=128 p=0.05 D=5 g=1.30 s=44  acc=0.141 marg=  1.26  [19s, eta 33m]
  [155/336] n=4000 M=128 p=0.05 D=5 g=1.30 s=45  acc=0.242 marg=  1.33  [19s, eta 33m]
  [156/336] n=4000 M=128 p=0.05 D=5 g=1.30 s=46  acc=0.203 marg=  1.31  [21s, eta 33m]
  [157/336] n=4000 M=128 p=0.05 D=5 g=1.40 s=44  acc=0.438 marg=  1.59  [24s, eta 33m]
  [158/336] n=4000 M=128 p=0.05 D=5 g=1.40 s=45  acc=0.484 marg=  1.65  [30s, eta 33m]
